Season,Player,Team,position,game_id,game_date,home_team,away_team,G,A1,A2,PTS,PrPTS,GS,SOG,eGF,eGA,GF.,PPG,PPA1,PPA2,SHG,SHA1,SHA2,FOW,FOL,PIM,Blk,TO,SV,GA
2018,Hanna  Beattie,CTW,D,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,-0.36,0,0,0,NA,0,0,0,0,0,0,1,4,0,0,0,0,0
2018,Jamie Goldsmith,CTW,F,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0.22999999999999998,1,0,0,NA,0,0,0,0,0,0,2,1,0,0,0,0,0
2018,Jillian Dempsey,BOS,F,22207014,2018-10-20,BOS,CTW,0,1,0,1,1,0.88,0,0,0,NA,0,0,0,0,0,0,9,7,0,0,0,0,0
2018,Jordan Smelker,BOS,F,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,1,0,0,0
2018,Katie Burt,BOS,G,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,-0.17999999999999972,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,13,2
2018,Kim Tiberi,CTW,D,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0.22,2,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
2018,Lauren Kelly,BOS,D,22207014,2018-10-20,BOS,CTW,1,0,0,1,1,1.33,3,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,Lexi Bender,BOS,D,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,-0.23000000000000004,1,0,0,NA,0,0,0,0,0,0,0,0,4,1,0,0,0
2018,Mallory Souliotis,BOS,D,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0.22,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,McKenna  Brand,BOS,F,22207014,2018-10-20,BOS,CTW,1,0,0,1,1,0.9700000000000001,3,0,0,NA,1,0,0,0,0,0,2,5,0,0,0,0,0
2018,Meeri Räisänen,CTW,G,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0.9200000000000004,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,28,3
2018,Michelle Löwenhielm,CTW,F,22207014,2018-10-20,BOS,CTW,0,0,1,1,0,0.32999999999999996,2,0,0,NA,0,0,0,0,0,0,3,6,2,1,0,0,0
2018,Nina Rodgers,CTW,F,22207014,2018-10-20,BOS,CTW,0,1,0,1,1,0.47,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2018,Rachael Ade,CTW,D,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Sam Donovan,CTW,F,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,-0.009999999999999995,1,0,0,NA,0,0,0,0,0,0,1,2,0,0,0,0,0
2018,Toni Ann Miano ,BOS,D,22207014,2018-10-20,BOS,CTW,0,0,1,1,0,0.75,1,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0
2018, Katerina   Mrázová,CTW,F,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,1,2,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Amanda Pelkey,BOS,F,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Dana Trivigno,BOS,F,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Emily Field,BOS,F,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Emily Fluke,CTW,F,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Gigi  Marvin,BOS,D,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Haley Skarupa,BOS,F,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Jamie Goldsmith,CTW,F,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Jillian Dempsey,BOS,F,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Jordan Brickner,CTW,D,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Jordan Smelker,BOS,F,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Kim Tiberi,CTW,D,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,1,2,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Lauren Kelly,BOS,D,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Lexi Bender,BOS,D,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mallory Souliotis,BOS,D,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,McKenna  Brand,BOS,F,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Michelle Löwenhielm,CTW,F,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Nina Rodgers,CTW,F,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Shannon Doyle,CTW,D,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Toni Ann Miano ,BOS,D,22207014,2018-10-20,BOS,CTW,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2018, Kelsey  Koelzer,MET,D,22207015,2018-10-20,MET,MIN,0,0,0,0,0,0.33,3,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Alexa Gruschow,MET,F,22207015,2018-10-20,MET,MIN,0,0,0,0,0,-0.49,1,0,0,NA,0,0,0,0,0,0,5,10,0,0,0,0,0
2018,Allie Thunstrom,MIN,F,22207015,2018-10-20,MET,MIN,0,0,0,0,0,0.04999999999999999,2,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2018,Amanda Boulier,MIN,D|F,22207015,2018-10-20,MET,MIN,0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Amanda Kessel,MET,F,22207015,2018-10-20,MET,MIN,0,0,1,1,0,1.19,5,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Amanda Leveille,MIN,G,22207015,2018-10-20,MET,MIN,0,0,0,0,0,0.3600000000000003,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,24,3
2018,Amy  Menke,MIN,F,22207015,2018-10-20,MET,MIN,1,0,0,1,1,1.33,3,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Amy Schlagel,MIN,F,22207015,2018-10-20,MET,MIN,1,0,0,1,1,1.3399999999999999,2,0,0,NA,0,0,0,0,0,0,1,0,0,2,0,0,0
2018,Audra Richards,MET,F,22207015,2018-10-20,MET,MIN,1,0,0,1,1,1.33,3,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Chelsea Ziadie,MET,D,22207015,2018-10-20,MET,MIN,0,0,1,1,0,0.51,1,0,0,NA,0,0,0,0,0,0,1,3,0,1,0,0,0
2018,Chelsey Brodt Rosenthal,MIN,D,22207015,2018-10-20,MET,MIN,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
2018,Emma Stauber,MIN,F,22207015,2018-10-20,MET,MIN,0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0
2018,Erika  Lawler,MET,F,22207015,2018-10-20,MET,MIN,0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,1,1,0,2,0,0,0
2018,Fiona  McKenna,MET,F,22207015,2018-10-20,MET,MIN,0,0,0,0,0,0.12,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,Hannah  Brandt,MIN,F,22207015,2018-10-20,MET,MIN,1,1,0,2,2,3.1900000000000004,1,0,0,NA,0,0,0,0,0,0,16,4,0,0,0,0,0
2018,Haylea Schmid,MIN,F,22207015,2018-10-20,MET,MIN,0,1,0,1,1,0.15000000000000002,1,0,0,NA,0,0,0,0,0,0,3,8,0,0,0,0,0
2018,Jenny Ryan,MET,D,22207015,2018-10-20,MET,MIN,0,0,0,0,0,0.04999999999999999,2,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2018,Jonna  Curtis,MIN,F,22207015,2018-10-20,MET,MIN,1,1,0,2,2,1.86,2,0,0,NA,0,0,0,0,0,0,1,1,0,0,0,0,0
2018,Kalli Funk,MIN,F,22207015,2018-10-20,MET,MIN,0,1,0,1,1,0.86,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Katie  Fitzgerald,MET,G,22207015,2018-10-20,MET,MIN,0,0,0,0,0,-1.7599999999999998,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,16,4
2018,Katie McGovern,MIN,F,22207015,2018-10-20,MET,MIN,0,0,0,0,0,0.48,0,0,0,NA,0,0,0,0,0,0,9,5,0,0,0,0,0
2018,Kiira Dosdall,MET,D,22207015,2018-10-20,MET,MIN,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2018,Kristin Lewicki,MET,F,22207015,2018-10-20,MET,MIN,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,5,5,0,0,0,0,0
2018,Lee Stecklein,MIN,D,22207015,2018-10-20,MET,MIN,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Lisa Martinson,MIN,F,22207015,2018-10-20,MET,MIN,0,0,0,0,0,0.12,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,Madison Packer,MET,F,22207015,2018-10-20,MET,MIN,2,0,0,2,2,2.05,7,0,0,NA,0,0,0,0,0,0,4,10,0,0,0,0,0
2018,Meghan  Pezon,MIN,F,22207015,2018-10-20,MET,MIN,1,0,0,1,1,1.33,3,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
