Season,event_team,home_skaters,away_skaters,event_player_1,event_player_2
2016,BOS,5,5,Emily Field,Rachel Llanes
2016,BOS,5,5,Jillian Dempsey,NA
2016,CTW,5,5,Kelli Stack,NA
2016,BOS,5,4,Brianna Decker,Zoe Hickel
2016,BOS,5,5,Brianna Decker,Jordan Smelker
2016,BOS,5,6,Brianna Decker,Alex Carpenter
2016,BOS,5,5,Meghan Duggan,Jillian Dempsey
2016,BOS,5,4,Alex Carpenter,NA
2016,MET,5,5,Bray Ketchum,Janine Weber
2016,MET,5,5,Ashley Johnston,Alexa Gruschow
2016,BOS,5,5,Jillian Dempsey,Alex Carpenter
2016,BOS,5,5,Alex Carpenter,Zoe Hickel
2016,BOS,5,5,Jillian Dempsey,Amanda Pelkey
2016,BOS,4,5,Hilary Knight,Alyssa Gagliardi
2016,BOS,5,5,Hilary Knight,Brianna Decker
2016,MET,5,4,Janine Weber,Amanda Kessel
2016,BOS,5,5,Meghan Duggan,Alex Carpenter
2016,BOS,5,5,Meghan Duggan,Alex Carpenter
2016,BOS,5,5,Alex Carpenter,Gigi Marvin
2016,BOS,5,5,Meghan Duggan,Alexandra Bender
2016,BOS,5,5,Jillian Dempsey,Meghan Duggan
2016,BOS,5,5,Brianna Decker,Jordan Smelker
2016,BOS,5,5,Gigi Marvin,Jillian Dempsey
2016,BOS,5,4,Brianna Decker,Gigi Marvin
2016,CTW,5,5,Haley Skarupa,Dana Trivigno
2016,BOS,5,5,Meghan Duggan,Emily Field
2016,CTW,5,4,Haley Skarupa,Cydney Roesler
2016,CTW,4,5,Haley Skarupa,Nicole Connery
2016,CTW,5,5,Kelli Stack,Sam Faber
2016,BOS,5,5,Alex Carpenter,Meghan Duggan
2016,CTW,4,5,Haley Skarupa,Kelli Stack
2016,CTW,5,5,Micaela Long,Shannon Doyle
2016,BOS,5,5,Kacey Bellamy,Alexandra Bender
2016,BOS,5,5,Meghan Duggan,Alex Carpenter
2016,BOS,5,3,Brianna Decker,Alex Carpenter
2016,BOS,5,4,Meghan Duggan,Blake Bolden
2016,BOS,5,5,Alexandra Bender,Hilary Knight
2016,BUF,5,5,Emily Janiga,NA
2016,BOS,5,5,Meghan Duggan,Alex Carpenter
2016,BOS,5,5,Hilary Knight,Brianna Decker
