Season,game_id,game_date,home_team,away_team,home_score,away_score,play_index,period,min,sec,game_seconds,event_interval,event_type,event_team,event_player_1,event_player_2,event_player_3,event_detail,x_coord,y_coord,home_skaters,away_skaters,event_angle,event_distance,x_coord_2,y_coord_2,x_coord_1,y_coord_1,home_goalie,away_goalie,plus_player_1,plus_player_2,plus_player_3,plus_player_4,plus_player_5,plus_player_6,minus_player_1,minus_player_2,minus_player_3,minus_player_4,minus_player_5,minus_player_6,
2018,22207012,13/10/18,BOS,MET,0,0,24,1,5,36,864,46,Faceoff,MET,Madison Packer,Jordan Smelker,NA,NA,63.9144,-23.018,5,5,42.53881454,34.04578757,63.9144,-23.018,63.9144,-23.018,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,25,1,4,41,919,55,Shot,BOS,Dana Trivigno,Katie  Fitzgerald,NA,NA,-56.6478,11.3305,5,5,19.30145241,34.27893048,-56.6478,11.3305,56.6478,-11.3305,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,26,1,4,41,919,0,Faceoff,MET,Kristin Lewicki,Dana Trivigno,NA,NA,-63.1026,20.1875,5,5,37.93707117,32.83611553,-63.1026,20.1875,63.1026,-20.1875,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,1,27,1,4,20,940,21,Goal,MET,Amanda Kessel,Rebecca Russo,NA,NA,76.032,5.6695,5,5,23.61454234,14.15317117,76.032,5.6695,76.032,5.6695,Katie Burt,Katie  Fitzgerald,Kiira Dosdall,Amanda Kessel,Rebecca Russo,Jenny Ryan,Kristin Lewicki,NA,Alyssa Gagliardi,Dru Burns,Dana Trivigno,Denisa  Krizova,Haley Skarupa,NA,
2018,22207012,13/10/18,BOS,MET,0,1,28,1,3,23,997,57,Faceoff,BOS,McKenna  Brand,Alexa Gruschow,NA,NA,66.3498,-15.9375,5,5,35.13160513,27.69540515,66.3498,-15.9375,66.3498,-15.9375,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,1,29,1,3,1,1019,22,Shot,BOS,Jillian Dempsey,Katie  Fitzgerald,NA,NA,-75.9924,-5.6695,5,5,23.55048883,14.18946398,-75.9924,-5.6695,75.9924,5.6695,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,1,30,1,2,22,1058,39,Faceoff,MET,Kristin Lewicki,Dana Trivigno,NA,NA,3.0294,-0.357,5,5,0.237924078,85.97134123,3.0294,-0.357,3.0294,-0.357,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,1,31,1,1,52,1088,30,Shot,BOS,Gigi  Marvin,Katie  Fitzgerald,NA,NA,-59.0634,-25.857,5,5,40.81800375,39.55735669,-59.0634,-25.857,59.0634,25.857,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,1,32,1,1,52,1088,0,Faceoff,BOS,McKenna  Brand,Alexa Gruschow,NA,NA,-63.4986,-18.768,5,5,36.35156662,31.66321566,-63.4986,-18.768,63.4986,18.768,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,1,33,1,1,48,1092,4,Shot,BOS,Lauren Kelly,Katie  Fitzgerald,NA,NA,-36.0756,26.2055,5,5,26.34229807,59.05692462,-36.0756,26.2055,36.0756,-26.2055,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
