game_id,game_date,home_team,away_team,home_score,away_score,play_index,period,min,sec,game_seconds,event_interval,event_type,event_team,event_player_1,event_player_2,event_player_3,event_detail,x_coord,y_coord,home_skaters,away_skaters,event_angle,event_distance,x_coord_2,y_coord_2,x_coord_1,y_coord_1,home_goalie,away_goalie,plus_player_1,plus_player_2,plus_player_3,plus_player_4,plus_player_5,plus_player_6,minus_player_1,minus_player_2,minus_player_3,minus_player_4,minus_player_5,minus_player_6,Season
14668259,2016-08-18,BUF,BOS,0,3,53,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,54,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,55,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,56,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,57,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,58,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,59,2,8,57,1863,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,62,3,20,0,2400,537,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,63,3,20,0,2400,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,64,3,20,0,2400,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,65,3,20,0,2400,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,66,3,20,0,2400,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,67,3,20,0,2400,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,68,3,20,0,2400,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,69,3,20,0,2400,0,Shot,BUF,NA,Brittany Ott,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,70,3,20,0,2400,0,Penalty,BUF,Kelley Steadman,Kelley Steadman,NA,2 Boarding Minor,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,3,71,3,10,56,2944,544,Penalty,BOS,Marissa Gedman,Marissa Gedman,NA,2 Cross-Checking Minor,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,4,72,3,10,48,2952,8,Goal,BOS,Amanda Pelkey,Kacey Bellamy,Jillian Dempsey,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
14668259,2016-08-18,BUF,BOS,0,4,72,3,6,58,3182,230,Shot,BOS,NA,Brianne Mclaughlin,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,Brianne Mclaughlin,Brittany Ott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
